sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,6_12_0,2024-07-08T23:47:58.955Z,,1,1.087024011,1.332340671,,,TRUE,ll,3449.4,response,-1.20713418,1.2,-1.2,-1.235960269,1.2,-1.2,low,low,ISIC_0000660.JPG,,ISIC_0058174.JPG,,30,TRUE,0.1,ll,keypress(f),0,FALSE,203585,203584.9,200127.6,200134,200135.5,203604.4,1,40,13,,,
sequence,flow.Sequence,6_12,2024-07-08T23:47:58.955Z,,,,,,,,,3449.4,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,203585.1,203584.9,200127.6,200134,200135.5,203604.4,1,40,,,,
trial,html.Screen,6_13_0,2024-07-08T23:48:01.578Z,,1,1.071778528,1.126723945,,,TRUE,ll,2602.8,response,-1.22825614,1.2,-1.2,-1.210457199,1.2,-1.2,low,low,ISIC_9948815.JPG,,ISIC_9141817.JPG,,53,TRUE,0.15,ll,keypress(f),0,FALSE,206207.4,206207.2,203580.7,203585.2,203604.4,206227.068,1,40,14,,,
sequence,flow.Sequence,6_13,2024-07-08T23:48:01.578Z,,,,,,,,,2602.8,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,206207.5,206207.2,203580.7,203585.2,203604.4,206227.068,1,40,,,,
trial,html.Screen,6_14_0,2024-07-08T23:48:08.773Z,,1,-0.948927472,1.066043716,,,TRUE,hl,7175.632,response,0.879102501,1.2,-1.2,-1.093308195,1.2,-1.2,high,low,ISIC_5808758.JPG,,ISIC_0046223.JPG,,26,TRUE,0.36,hl,keypress(j),0,FALSE,213403,213402.7,206227.068,206207.5,206227.068,213422,1,40,15,,,
sequence,flow.Sequence,6_14,2024-07-08T23:48:08.774Z,,,,,,,,,7175.632,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,213403.3,213402.7,206227.068,206207.5,206227.068,213422,1,40,,,,
trial,html.Screen,6_15_0,2024-07-08T23:48:14.327Z,,1,1.236499456,-0.917417365,,,TRUE,lh,5534.2,response,-0.865516731,1.2,-1.2,0.929858042,1.2,-1.2,low,high,ISIC_3481133.JPG,,ISIC_4603706.JPG,,27,TRUE,0.42,lh,keypress(e),0,FALSE,218956.3,218956.2,213404.42,213403.5,213422,218958,1,40,16,,,
sequence,flow.Sequence,6_15,2024-07-08T23:48:14.327Z,,,,,,,,,5534.2,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,218956.5,218956.2,213404.42,213403.4,213422,218958,1,40,,,,
trial,html.Screen,6_16_0,2024-07-08T23:48:17.719Z,,1,-1.11647295,-1.297893575,,,TRUE,hh,3390.9,response,1.096920311,1.2,-1.2,0.875899039,1.2,-1.2,high,high,ISIC_0034166.JPG,,ISIC_2800198.JPG,,179,TRUE,0.36,hh,keypress(i),0,FALSE,222349.2,222348.9,218956.6,218956.5,218958,222384.1,1,40,17,,,
sequence,flow.Sequence,6_16,2024-07-08T23:48:17.720Z,,,,,,,,,3390.9,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,222349.4,222348.9,218956.6,218956.5,218958,222384.1,1,40,,,,
trial,html.Screen,6_17_0,2024-07-08T23:48:24.876Z,,1,1.269550955,-0.964109968,,,TRUE,lh,7121.7,response,-0.894761108,1.2,-1.2,0.896096451,1.2,-1.2,low,high,ISIC_0025841.JPG,,ISIC_6441128.JPG,,27,TRUE,0.42,lh,keypress(e),0,FALSE,229505.9,229505.8,222380.37,222349.4,222384.1,229526.388,1,40,18,,,
sequence,flow.Sequence,6_17,2024-07-08T23:48:24.876Z,,,,,,,,,7121.7,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,229506.1,229505.8,222380.37,222349.4,222384.1,229526.388,1,40,,,,
trial,html.Screen,6_18_0,2024-07-08T23:48:35.110Z,,1,1.207517224,-0.911672497,,,FALSE,lh,10213.012,response,-1.011596533,1.2,-1.2,0.82826336,1.2,-1.2,low,high,ISIC_0024235.JPG,,ISIC_1069587.JPG,,27,TRUE,0.42,ll,keypress(f),0,FALSE,239739.5,239739.4,229526.388,229506.3,229526.388,239758.188,1,40,19,,,
sequence,flow.Sequence,6_18,2024-07-08T23:48:35.110Z,,,,,,,,,10213.012,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,239739.8,239739.4,229526.388,229506.2,229526.388,239758.188,1,40,,,,
trial,html.Screen,6_19_0,2024-07-08T23:48:40.580Z,,1,-0.820096201,0.793605164,,,TRUE,hl,5451.512,response,1.014350968,1.2,-1.2,-1.31639559,1.2,-1.2,high,low,ISIC_0027031.JPG,,ISIC_0062031.JPG,,26,TRUE,0.36,hl,keypress(j),0,FALSE,245209.8,245209.7,239758.188,239739.8,239758.188,245211.3,1,40,20,,,
sequence,flow.Sequence,6_19,2024-07-08T23:48:40.580Z,,,,,,,,,5451.512,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,245209.9,245209.7,239758.188,239739.8,239758.188,245211.3,1,40,,,,
