sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
sequence,flow.Sequence,5_13,2023-11-13T15:27:00.108Z,,,,,,,,4408.695,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1657400.9,1657399.9,1652974.511,1653081.8,1652991.205,1657311.402,1,20,,,,
trial,html.Screen,5_14_0,2023-11-13T15:27:03.177Z,,1,-0.022222353,0.06682017,,TRUE,hh,3158.598,response,0.946404304,1,-1,1.073353722,1,-1,high,high,ISIC_8321148.JPG,,ISIC_0055293.JPG,154,TRUE,hh,keypress(i),0,FALSE,1660470.1,1660470,1657294.93,1657401.1,1657311.402,1660380.441,1,20,15,,,
sequence,flow.Sequence,5_14,2023-11-13T15:27:03.177Z,,,,,,,,3158.598,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1660470.2,1660470,1657294.93,1657401,1657311.402,1660380.441,1,20,,,,
trial,html.Screen,5_15_0,2023-11-13T15:27:06.860Z,,1,0.032829959,0.057231856,,TRUE,hh,3772.259,response,0.925776674,1,-1,1.139992575,1,-1,high,high,ISIC_0397464.JPG,,ISIC_7331345.JPG,154,TRUE,hh,keypress(i),0,FALSE,1664153.1,1664152.7,1660363.881,1660470.2,1660380.441,1664067.025,1,20,16,,,
sequence,flow.Sequence,5_15,2023-11-13T15:27:06.861Z,,,,,,,,3772.259,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1664153.7,1664152.7,1660363.881,1660470.2,1660380.441,1664067.025,1,20,,,,
trial,html.Screen,5_16_0,2023-11-13T15:27:12.172Z,,1,-0.022222353,0.06682017,,TRUE,ll,5397.075,response,-0.897167818,1,-1,-1.16791824,1,-1,low,low,ISIC_8321148.JPG,,ISIC_0025085.JPG,111,TRUE,ll,keypress(f),0,FALSE,1669464.4,1669464.1,1664050.333,1664154,1664067.025,1669371.43,1,20,17,,,
sequence,flow.Sequence,5_16,2023-11-13T15:27:12.172Z,,,,,,,,5397.075,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1669464.9,1669464.1,1664050.333,1664153.9,1664067.025,1669371.43,1,20,,,,
trial,html.Screen,5_17_0,2023-11-13T15:27:15.356Z,,1,0.01748156,0.005067913,,TRUE,hl,3277.07,response,0.842890377,1,-1,-1.006154818,1,-1,high,low,ISIC_9848743.JPG,,ISIC_0069970.JPG,24,TRUE,hl,keypress(j),0,FALSE,1672648.8,1672648.5,1669354.689,1669465.2,1669371.43,1672557.397,1,20,18,,,
sequence,flow.Sequence,5_17,2023-11-13T15:27:15.357Z,,,,,,,,3277.07,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1672649.4,1672648.5,1669354.689,1669465,1669371.43,1672557.397,1,20,,,,
trial,html.Screen,5_18_0,2023-11-13T15:27:18.106Z,,1,0.010287156,0.045028243,,TRUE,hl,2840.903,response,1.104705848,1,-1,-0.815235489,1,-1,high,low,ISIC_1805163.JPG,,ISIC_0010283.JPG,24,TRUE,hl,keypress(j),0,FALSE,1675398.5,1675398.3,1672540.747,1672649.8,1672557.397,1675309.473,1,20,19,,,
